Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths
02/01/2023,01/01/2020,01/28/2023,Female,0-05 Months,24592,131
02/01/2023,01/01/2020,01/28/2023,Male,0-05 Months,30202,168
02/01/2023,01/01/2020,01/28/2023,Female,06-11 Months,2138,56
02/01/2023,01/01/2020,01/28/2023,Male,06-11 Months,2743,63
02/01/2023,01/01/2020,01/28/2023,Female,01 Year,1967,45
02/01/2023,01/01/2020,01/28/2023,Male,01 Year,2475,64
02/01/2023,01/01/2020,01/28/2023,Female,02 Years,1251,21
02/01/2023,01/01/2020,01/28/2023,Male,02 Years,1649,26
02/01/2023,01/01/2020,01/28/2023,Female,03 Years,981,15
02/01/2023,01/01/2020,01/28/2023,Male,03 Years,1314,27
02/01/2023,01/01/2020,01/28/2023,Female,04 Years,791,25
02/01/2023,01/01/2020,01/28/2023,Male,04 Years,1034,9
02/01/2023,01/01/2020,01/28/2023,Female,05 Years,715,16
02/01/2023,01/01/2020,01/28/2023,Male,05 Years,978,19
02/01/2023,01/01/2020,01/28/2023,Female,06 Years,649,18
02/01/2023,01/01/2020,01/28/2023,Male,06 Years,853,18
02/01/2023,01/01/2020,01/28/2023,Female,07 Years,622,18
02/01/2023,01/01/2020,01/28/2023,Male,07 Years,758,15
02/01/2023,01/01/2020,01/28/2023,Female,08 Years,601,14
02/01/2023,01/01/2020,01/28/2023,Male,08 Years,718,19
02/01/2023,01/01/2020,01/28/2023,Female,09 Years,561,21
02/01/2023,01/01/2020,01/28/2023,Male,09 Years,746,31
02/01/2023,01/01/2020,01/28/2023,Female,10 Years,612,18
02/01/2023,01/01/2020,01/28/2023,Male,10 Years,831,22
02/01/2023,01/01/2020,01/28/2023,Female,11 Years,660,20
02/01/2023,01/01/2020,01/28/2023,Male,11 Years,947,19
02/01/2023,01/01/2020,01/28/2023,Female,12 Years,835,22
02/01/2023,01/01/2020,01/28/2023,Male,12 Years,1040,29
02/01/2023,01/01/2020,01/28/2023,Female,13 Years,980,36
02/01/2023,01/01/2020,01/28/2023,Male,13 Years,1492,33
02/01/2023,01/01/2020,01/28/2023,Female,14 Years,1172,35
02/01/2023,01/01/2020,01/28/2023,Male,14 Years,2080,24
02/01/2023,01/01/2020,01/28/2023,Female,15 Years,1357,55
02/01/2023,01/01/2020,01/28/2023,Male,15 Years,2847,55
02/01/2023,01/01/2020,01/28/2023,Female,16 Years,1714,41
02/01/2023,01/01/2020,01/28/2023,Male,16 Years,3933,60
02/01/2023,01/01/2020,01/28/2023,Female,17 Years,2047,68
02/01/2023,01/01/2020,01/28/2023,Male,17 Years,5308,84
02/01/2023,01/01/2020,01/28/2023,Female,18 Years,2599,72
02/01/2023,01/01/2020,01/28/2023,Male,18 Years,7251,115
02/01/2023,01/01/2020,01/28/2023,Female,19 Years,2873,107
02/01/2023,01/01/2020,01/28/2023,Male,19 Years,8501,154
02/01/2023,01/01/2020,01/28/2023,Female,20 Years,3222,128
02/01/2023,01/01/2020,01/28/2023,Male,20 Years,8950,170
02/01/2023,01/01/2020,01/28/2023,Female,21 Years,3554,122
02/01/2023,01/01/2020,01/28/2023,Male,21 Years,10076,214
02/01/2023,01/01/2020,01/28/2023,Female,22 Years,3683,192
02/01/2023,01/01/2020,01/28/2023,Male,22 Years,10670,236
02/01/2023,01/01/2020,01/28/2023,Female,23 Years,4119,190
02/01/2023,01/01/2020,01/28/2023,Male,23 Years,11022,284
02/01/2023,01/01/2020,01/28/2023,Female,24 Years,4230,210
02/01/2023,01/01/2020,01/28/2023,Male,24 Years,11667,359
02/01/2023,01/01/2020,01/28/2023,Female,25 Years,4735,255
02/01/2023,01/01/2020,01/28/2023,Male,25 Years,12491,355
02/01/2023,01/01/2020,01/28/2023,Female,26 Years,5003,275
02/01/2023,01/01/2020,01/28/2023,Male,26 Years,13310,434
02/01/2023,01/01/2020,01/28/2023,Female,27 Years,5547,326
02/01/2023,01/01/2020,01/28/2023,Male,27 Years,14275,514
02/01/2023,01/01/2020,01/28/2023,Female,28 Years,5970,353
02/01/2023,01/01/2020,01/28/2023,Male,28 Years,15248,615
02/01/2023,01/01/2020,01/28/2023,Female,29 Years,6721,411
02/01/2023,01/01/2020,01/28/2023,Male,29 Years,16543,717
02/01/2023,01/01/2020,01/28/2023,Female,30 Years,7242,545
02/01/2023,01/01/2020,01/28/2023,Male,30 Years,17341,765
02/01/2023,01/01/2020,01/28/2023,Female,31 Years,7564,566
02/01/2023,01/01/2020,01/28/2023,Male,31 Years,17982,875
02/01/2023,01/01/2020,01/28/2023,Female,32 Years,8122,624
02/01/2023,01/01/2020,01/28/2023,Male,32 Years,18411,932
02/01/2023,01/01/2020,01/28/2023,Female,33 Years,8634,628
02/01/2023,01/01/2020,01/28/2023,Male,33 Years,18699,1020
02/01/2023,01/01/2020,01/28/2023,Female,34 Years,8850,678
02/01/2023,01/01/2020,01/28/2023,Male,34 Years,18901,1152
02/01/2023,01/01/2020,01/28/2023,Female,35 Years,9227,730
02/01/2023,01/01/2020,01/28/2023,Male,35 Years,19419,1191
02/01/2023,01/01/2020,01/28/2023,Female,36 Years,9759,788
02/01/2023,01/01/2020,01/28/2023,Male,36 Years,20101,1302
02/01/2023,01/01/2020,01/28/2023,Female,37 Years,10354,831
02/01/2023,01/01/2020,01/28/2023,Male,37 Years,20838,1469
02/01/2023,01/01/2020,01/28/2023,Female,38 Years,10949,981
02/01/2023,01/01/2020,01/28/2023,Male,38 Years,21304,1527
02/01/2023,01/01/2020,01/28/2023,Female,39 Years,11668,1047
02/01/2023,01/01/2020,01/28/2023,Male,39 Years,22675,1719
02/01/2023,01/01/2020,01/28/2023,Female,40 Years,12295,1196
02/01/2023,01/01/2020,01/28/2023,Male,40 Years,23374,1773
02/01/2023,01/01/2020,01/28/2023,Female,41 Years,12936,1215
02/01/2023,01/01/2020,01/28/2023,Male,41 Years,23926,2022
02/01/2023,01/01/2020,01/28/2023,Female,42 Years,13329,1389
02/01/2023,01/01/2020,01/28/2023,Male,42 Years,24117,2195
02/01/2023,01/01/2020,01/28/2023,Female,43 Years,13802,1473
02/01/2023,01/01/2020,01/28/2023,Male,43 Years,24661,2327
02/01/2023,01/01/2020,01/28/2023,Female,44 Years,14242,1564
02/01/2023,01/01/2020,01/28/2023,Male,44 Years,25354,2679
02/01/2023,01/01/2020,01/28/2023,Female,45 Years,14976,1626
02/01/2023,01/01/2020,01/28/2023,Male,45 Years,26093,2838
02/01/2023,01/01/2020,01/28/2023,Female,46 Years,15989,1833
02/01/2023,01/01/2020,01/28/2023,Male,46 Years,27274,3100
02/01/2023,01/01/2020,01/28/2023,Female,47 Years,17231,1912
02/01/2023,01/01/2020,01/28/2023,Male,47 Years,29256,3373
02/01/2023,01/01/2020,01/28/2023,Female,48 Years,18807,2236
02/01/2023,01/01/2020,01/28/2023,Male,48 Years,32086,3855
02/01/2023,01/01/2020,01/28/2023,Female,49 Years,21129,2494
02/01/2023,01/01/2020,01/28/2023,Male,49 Years,35478,4231
02/01/2023,01/01/2020,01/28/2023,Female,50 Years,23551,2744
02/01/2023,01/01/2020,01/28/2023,Male,50 Years,39499,4852
02/01/2023,01/01/2020,01/28/2023,Female,51 Years,25163,2840
02/01/2023,01/01/2020,01/28/2023,Male,51 Years,42094,5141
02/01/2023,01/01/2020,01/28/2023,Female,52 Years,26701,3019
02/01/2023,01/01/2020,01/28/2023,Male,52 Years,44806,5544
02/01/2023,01/01/2020,01/28/2023,Female,53 Years,28217,3190
02/01/2023,01/01/2020,01/28/2023,Male,53 Years,47080,5615
02/01/2023,01/01/2020,01/28/2023,Female,54 Years,30661,3528
02/01/2023,01/01/2020,01/28/2023,Male,54 Years,51176,6093
02/01/2023,01/01/2020,01/28/2023,Female,55 Years,34173,3891
02/01/2023,01/01/2020,01/28/2023,Male,55 Years,56708,6684
02/01/2023,01/01/2020,01/28/2023,Female,56 Years,38179,4393
02/01/2023,01/01/2020,01/28/2023,Male,56 Years,62849,7515
02/01/2023,01/01/2020,01/28/2023,Female,57 Years,42654,4738
02/01/2023,01/01/2020,01/28/2023,Male,57 Years,68489,7868
02/01/2023,01/01/2020,01/28/2023,Female,58 Years,46022,5303
02/01/2023,01/01/2020,01/28/2023,Male,58 Years,75110,8421
02/01/2023,01/01/2020,01/28/2023,Female,59 Years,51102,5771
02/01/2023,01/01/2020,01/28/2023,Male,59 Years,80716,9347
02/01/2023,01/01/2020,01/28/2023,Female,60 Years,54817,6201
02/01/2023,01/01/2020,01/28/2023,Male,60 Years,87194,10065
02/01/2023,01/01/2020,01/28/2023,Female,61 Years,58786,6697
02/01/2023,01/01/2020,01/28/2023,Male,61 Years,92065,10517
02/01/2023,01/01/2020,01/28/2023,Female,62 Years,62433,7227
02/01/2023,01/01/2020,01/28/2023,Male,62 Years,97011,11267
02/01/2023,01/01/2020,01/28/2023,Female,63 Years,66512,7762
02/01/2023,01/01/2020,01/28/2023,Male,63 Years,102477,11833
02/01/2023,01/01/2020,01/28/2023,Female,64 Years,69827,8233
02/01/2023,01/01/2020,01/28/2023,Male,64 Years,106585,12305
02/01/2023,01/01/2020,01/28/2023,Female,65 Years,72664,8580
02/01/2023,01/01/2020,01/28/2023,Male,65 Years,109232,12856
02/01/2023,01/01/2020,01/28/2023,Female,66 Years,75086,8667
02/01/2023,01/01/2020,01/28/2023,Male,66 Years,111389,13076
02/01/2023,01/01/2020,01/28/2023,Female,67 Years,77466,8873
